Epoch: [2][300/632], 	Time 0.077 (0.260)	Data 0.000 (0.185)	Loss 0.0813 (0.0997)	Precision 0.929 (0.755)	Recall 0.929 (0.837)	mAP 1.000 (0.930)
Epoch: [2][320/632], 	Time 0.226 (0.258)	Data 0.184 (0.184)	Loss 0.1183 (0.0991)	Precision 0.857 (0.757)	Recall 0.786 (0.839)	mAP 0.976 (0.930)
Epoch: [2][340/632], 	Time 0.596 (0.259)	Data 0.555 (0.185)	Loss 0.0462 (0.0978)	Precision 0.938 (0.762)	Recall 1.000 (0.842)	mAP 0.910 (0.932)
Epoch: [2][360/632], 	Time 0.079 (0.262)	Data 0.000 (0.188)	Loss 0.1359 (0.0978)	Precision 0.631 (0.761)	Recall 0.786 (0.842)	mAP 0.940 (0.932)
Epoch: [2][380/632], 	Time 0.077 (0.262)	Data 0.000 (0.188)	Loss 0.0557 (0.0975)	Precision 1.000 (0.760)	Recall 0.944 (0.841)	mAP 1.000 (0.931)
Epoch: [2][400/632], 	Time 0.077 (0.268)	Data 0.000 (0.194)	Loss 0.0419 (0.0969)	Precision 1.000 (0.762)	Recall 1.000 (0.841)	mAP 1.000 (0.932)
Epoch: [2][420/632], 	Time 1.260 (0.265)	Data 1.217 (0.191)	Loss 0.1327 (0.0969)	Precision 0.778 (0.762)	Recall 0.889 (0.841)	mAP 0.944 (0.933)
Epoch: [2][440/632], 	Time 0.078 (0.263)	Data 0.000 (0.189)	Loss 0.0890 (0.0975)	Precision 0.722 (0.761)	Recall 0.778 (0.838)	mAP 1.000 (0.932)
Epoch: [2][460/632], 	Time 0.076 (0.261)	Data 0.000 (0.187)	Loss 0.1604 (0.0980)	Precision 0.400 (0.758)	Recall 0.625 (0.838)	mAP 0.854 (0.931)
Epoch: [2][480/632], 	Time 0.077 (0.259)	Data 0.000 (0.185)	Loss 0.0782 (0.0980)	Precision 0.833 (0.759)	Recall 1.000 (0.838)	mAP 1.000 (0.931)
Epoch: [2][500/632], 	Time 0.086 (0.254)	Data 0.000 (0.180)	Loss 0.1408 (0.0979)	Precision 0.625 (0.760)	Recall 0.750 (0.837)	mAP 0.917 (0.931)
Epoch: [2][520/632], 	Time 0.076 (0.254)	Data 0.000 (0.180)	Loss 0.0849 (0.0974)	Precision 0.750 (0.758)	Recall 0.833 (0.838)	mAP 0.847 (0.932)
Epoch: [2][540/632], 	Time 0.077 (0.256)	Data 0.000 (0.182)	Loss 0.1925 (0.0974)	Precision 0.524 (0.760)	Recall 0.595 (0.839)	mAP 0.810 (0.932)
Epoch: [2][560/632], 	Time 0.081 (0.263)	Data 0.000 (0.189)	Loss 0.0721 (0.0970)	Precision 0.800 (0.760)	Recall 1.000 (0.840)	mAP 0.967 (0.932)
Epoch: [2][580/632], 	Time 0.077 (0.259)	Data 0.000 (0.185)	Loss 0.0961 (0.0973)	Precision 0.893 (0.758)	Recall 0.929 (0.840)	mAP 0.940 (0.932)
Epoch: [2][600/632], 	Time 0.083 (0.258)	Data 0.000 (0.184)	Loss 0.0852 (0.0973)	Precision 0.833 (0.757)	Recall 0.929 (0.839)	mAP 0.964 (0.932)
Epoch: [2][620/632], 	Time 0.077 (0.256)	Data 0.000 (0.181)	Loss 0.1759 (0.0970)	Precision 0.595 (0.758)	Recall 0.667 (0.840)	mAP 0.948 (0.933)
Test: [0/194]	Time 0.574 (0.574)	Loss 0.1260 (0.1260)
Test: [20/194]	Time 0.029 (0.061)	Loss 0.0920 (0.1277)
Test: [40/194]	Time 0.029 (0.045)	Loss 0.1028 (0.1197)
Test: [60/194]	Time 0.029 (0.040)	Loss 0.0245 (0.1096)
Test: [80/194]	Time 0.029 (0.037)	Loss 0.0735 (0.0958)
Test: [100/194]	Time 0.031 (0.036)	Loss 0.0957 (0.0968)
Test: [120/194]	Time 0.029 (0.035)	Loss 0.1903 (0.1010)
Test: [140/194]	Time 0.030 (0.036)	Loss 0.0811 (0.1015)
Test: [160/194]	Time 0.028 (0.036)	Loss 0.0140 (0.0902)
Test: [180/194]	Time 0.028 (0.035)	Loss 0.1811 (0.0943)
Testing Results: Best Threshold 0.30, mAP: 0.7456, Loss: 0.09704
Best mAP: 0.746, Best Threshold: 0.30

Epoch: [3][0/632], 	Time 3.158 (3.158)	Data 3.112 (3.112)	Loss 0.0834 (0.0834)	Precision 0.800 (0.800)	Recall 0.650 (0.650)	mAP 0.967 (0.967)
Epoch: [3][20/632], 	Time 0.077 (0.412)	Data 0.000 (0.339)	Loss 0.1111 (0.0913)	Precision 0.467 (0.756)	Recall 0.633 (0.766)	mAP 0.772 (0.939)
Epoch: [3][40/632], 	Time 0.076 (0.408)	Data 0.000 (0.336)	Loss 0.0973 (0.0857)	Precision 0.800 (0.770)	Recall 0.700 (0.783)	mAP 0.900 (0.948)
Epoch: [3][60/632], 	Time 0.077 (0.325)	Data 0.000 (0.252)	Loss 0.0609 (0.0865)	Precision 0.800 (0.760)	Recall 0.800 (0.786)	mAP 1.000 (0.943)
Epoch: [3][80/632], 	Time 0.078 (0.287)	Data 0.000 (0.213)	Loss 0.0961 (0.0879)	Precision 0.792 (0.751)	Recall 0.917 (0.779)	mAP 1.000 (0.946)
Epoch: [3][100/632], 	Time 0.077 (0.273)	Data 0.000 (0.199)	Loss 0.0595 (0.0866)	Precision 0.792 (0.757)	Recall 0.833 (0.785)	mAP 0.986 (0.948)
Epoch: [3][120/632], 	Time 0.077 (0.273)	Data 0.000 (0.200)	Loss 0.1481 (0.0854)	Precision 0.542 (0.761)	Recall 0.562 (0.787)	mAP 0.844 (0.954)
Epoch: [3][140/632], 	Time 0.082 (0.260)	Data 0.000 (0.187)	Loss 0.0596 (0.0853)	Precision 1.000 (0.755)	Recall 1.000 (0.784)	mAP 1.000 (0.953)
Epoch: [3][160/632], 	Time 0.076 (0.260)	Data 0.000 (0.187)	Loss 0.1149 (0.0853)	Precision 0.639 (0.752)	Recall 0.833 (0.785)	mAP 0.917 (0.952)
Epoch: [3][180/632], 	Time 0.076 (0.246)	Data 0.000 (0.172)	Loss 0.0459 (0.0851)	Precision 0.900 (0.757)	Recall 1.000 (0.790)	mAP 1.000 (0.950)
