Epoch: [1][620/632], 	Time 0.090 (0.092)	Data 0.000 (0.002)	Loss 0.1064 (0.1552)	Precision 0.833 (0.530)	Recall 1.000 (0.787)	mAP 1.000 (0.874)
Test: [0/194]	Time 0.789 (0.789)	Loss 0.2519 (0.2519)
Test: [20/194]	Time 0.028 (0.068)	Loss 0.1395 (0.1870)
Test: [40/194]	Time 0.028 (0.049)	Loss 0.1478 (0.1632)
Test: [60/194]	Time 0.028 (0.042)	Loss 0.0582 (0.1477)
Test: [80/194]	Time 0.050 (0.040)	Loss 0.0835 (0.1307)
Test: [100/194]	Time 0.030 (0.038)	Loss 0.2046 (0.1272)
Test: [120/194]	Time 0.028 (0.038)	Loss 0.1775 (0.1327)
Test: [140/194]	Time 0.028 (0.038)	Loss 0.2201 (0.1448)
Test: [160/194]	Time 0.029 (0.037)	Loss 0.0273 (0.1311)
Test: [180/194]	Time 0.027 (0.036)	Loss 0.1631 (0.1351)
Testing Results: Best Threshold 0.10, mAP: 0.5604, Loss: 0.13477
Best mAP: 0.560, Best Threshold: 0.10

Epoch: [2][0/632], 	Time 1.086 (1.086)	Data 1.030 (1.030)	Loss 0.1445 (0.1445)	Precision 0.550 (0.550)	Recall 0.750 (0.750)	mAP 0.823 (0.823)
Epoch: [2][20/632], 	Time 0.093 (0.138)	Data 0.000 (0.049)	Loss 0.1033 (0.1400)	Precision 0.524 (0.581)	Recall 0.857 (0.814)	mAP 0.929 (0.896)
Epoch: [2][40/632], 	Time 0.091 (0.115)	Data 0.000 (0.025)	Loss 0.1962 (0.1363)	Precision 0.589 (0.599)	Recall 0.722 (0.827)	mAP 0.875 (0.895)
Epoch: [2][60/632], 	Time 0.093 (0.107)	Data 0.000 (0.017)	Loss 0.1329 (0.1385)	Precision 0.552 (0.607)	Recall 0.833 (0.830)	mAP 0.806 (0.895)
Epoch: [2][80/632], 	Time 0.091 (0.103)	Data 0.000 (0.013)	Loss 0.1283 (0.1387)	Precision 0.340 (0.605)	Recall 0.733 (0.833)	mAP 0.973 (0.902)
