Epoch: [3][120/478], 	Time 0.092 (0.101)	Data 0.000 (0.007)	Loss 0.1490 (0.1649)	Precision 0.198 (0.286)	Recall 0.267 (0.422)	mAP 0.772 (0.682)
Epoch: [3][140/478], 	Time 0.093 (0.100)	Data 0.000 (0.006)	Loss 0.1426 (0.1642)	Precision 0.294 (0.287)	Recall 0.467 (0.422)	mAP 0.753 (0.686)
Epoch: [3][160/478], 	Time 0.095 (0.099)	Data 0.000 (0.005)	Loss 0.1827 (0.1651)	Precision 0.325 (0.287)	Recall 0.433 (0.420)	mAP 0.705 (0.687)
Epoch: [3][180/478], 	Time 0.094 (0.099)	Data 0.000 (0.005)	Loss 0.1335 (0.1644)	Precision 0.338 (0.290)	Recall 0.467 (0.424)	mAP 0.705 (0.686)
Epoch: [3][200/478], 	Time 0.093 (0.098)	Data 0.000 (0.004)	Loss 0.2269 (0.1659)	Precision 0.397 (0.291)	Recall 0.450 (0.425)	mAP 0.800 (0.687)
Epoch: [3][220/478], 	Time 0.093 (0.098)	Data 0.000 (0.004)	Loss 0.2107 (0.1664)	Precision 0.456 (0.291)	Recall 0.567 (0.424)	mAP 0.851 (0.688)
Epoch: [3][240/478], 	Time 0.094 (0.097)	Data 0.000 (0.004)	Loss 0.1457 (0.1654)	Precision 0.276 (0.293)	Recall 0.400 (0.426)	mAP 0.800 (0.690)
Epoch: [3][260/478], 	Time 0.093 (0.097)	Data 0.000 (0.003)	Loss 0.1426 (0.1643)	Precision 0.286 (0.292)	Recall 0.378 (0.425)	mAP 0.900 (0.690)
Epoch: [3][280/478], 	Time 0.092 (0.097)	Data 0.000 (0.003)	Loss 0.0903 (0.1636)	Precision 0.390 (0.293)	Recall 0.467 (0.425)	mAP 0.750 (0.691)
Epoch: [3][300/478], 	Time 0.096 (0.096)	Data 0.000 (0.003)	Loss 0.1240 (0.1623)	Precision 0.333 (0.292)	Recall 0.533 (0.425)	mAP 0.813 (0.693)
Epoch: [3][320/478], 	Time 0.095 (0.096)	Data 0.000 (0.003)	Loss 0.1057 (0.1622)	Precision 0.211 (0.290)	Recall 0.400 (0.423)	mAP 0.786 (0.693)
Epoch: [3][340/478], 	Time 0.092 (0.096)	Data 0.000 (0.003)	Loss 0.2156 (0.1618)	Precision 0.312 (0.292)	Recall 0.467 (0.424)	mAP 0.696 (0.693)
Epoch: [3][360/478], 	Time 0.094 (0.096)	Data 0.000 (0.002)	Loss 0.1252 (0.1617)	Precision 0.371 (0.292)	Recall 0.444 (0.422)	mAP 0.733 (0.690)
Epoch: [3][380/478], 	Time 0.093 (0.096)	Data 0.000 (0.002)	Loss 0.1994 (0.1618)	Precision 0.278 (0.293)	Recall 0.383 (0.421)	mAP 0.420 (0.690)
Epoch: [3][400/478], 	Time 0.102 (0.096)	Data 0.000 (0.002)	Loss 0.1218 (0.1613)	Precision 0.333 (0.293)	Recall 0.467 (0.421)	mAP 0.867 (0.690)
Epoch: [3][420/478], 	Time 0.099 (0.096)	Data 0.000 (0.002)	Loss 0.1893 (0.1609)	Precision 0.383 (0.293)	Recall 0.533 (0.420)	mAP 0.782 (0.691)
Epoch: [3][440/478], 	Time 0.096 (0.096)	Data 0.000 (0.002)	Loss 0.1103 (0.1602)	Precision 0.370 (0.295)	Recall 0.533 (0.422)	mAP 0.617 (0.692)
Epoch: [3][460/478], 	Time 0.092 (0.096)	Data 0.000 (0.002)	Loss 0.1135 (0.1595)	Precision 0.217 (0.296)	Recall 0.400 (0.423)	mAP 0.683 (0.690)
Test: [0/167]	Time 0.708 (0.708)	Loss 0.2203 (0.2203)
Test: [20/167]	Time 0.028 (0.063)	Loss 0.1953 (0.1954)
Test: [40/167]	Time 0.029 (0.047)	Loss 0.1714 (0.2091)
Test: [60/167]	Time 0.029 (0.041)	Loss 0.1405 (0.2022)
Test: [80/167]	Time 0.030 (0.038)	Loss 0.1032 (0.1778)
Test: [100/167]	Time 0.029 (0.037)	Loss 0.1607 (0.1686)
Test: [120/167]	Time 0.028 (0.036)	Loss 0.1802 (0.1567)
Test: [140/167]	Time 0.029 (0.035)	Loss 0.2983 (0.1531)
Test: [160/167]	Time 0.027 (0.034)	Loss 0.3011 (0.1596)
Testing Results: Best Threshold 0.20, mAP: 0.6779, Loss: 0.16270
Best mAP: 0.678, Best Threshold: 0.20

Epoch: [4][0/478], 	Time 0.546 (0.546)	Data 0.487 (0.487)	Loss 0.1355 (0.1355)	Precision 0.456 (0.456)	Recall 0.533 (0.533)	mAP 0.861 (0.861)
Epoch: [4][20/478], 	Time 0.094 (0.125)	Data 0.000 (0.036)	Loss 0.1069 (0.1382)	Precision 0.422 (0.355)	Recall 0.453 (0.395)	mAP 0.864 (0.829)
Epoch: [4][40/478], 	Time 0.091 (0.109)	Data 0.000 (0.019)	Loss 0.1244 (0.1487)	Precision 0.367 (0.329)	Recall 0.367 (0.375)	mAP 0.844 (0.824)
Epoch: [4][60/478], 	Time 0.095 (0.104)	Data 0.000 (0.012)	Loss 0.1925 (0.1488)	Precision 0.275 (0.330)	Recall 0.333 (0.377)	mAP 0.820 (0.825)
Epoch: [4][80/478], 	Time 0.092 (0.101)	Data 0.000 (0.009)	Loss 0.1278 (0.1469)	Precision 0.356 (0.330)	Recall 0.400 (0.376)	mAP 0.853 (0.821)
Epoch: [4][100/478], 	Time 0.092 (0.099)	Data 0.000 (0.008)	Loss 0.1988 (0.1477)	Precision 0.244 (0.333)	Recall 0.300 (0.381)	mAP 0.806 (0.820)
Epoch: [4][120/478], 	Time 0.093 (0.098)	Data 0.000 (0.006)	Loss 0.0724 (0.1458)	Precision 0.417 (0.332)	Recall 0.467 (0.381)	mAP 0.918 (0.823)
Epoch: [4][140/478], 	Time 0.092 (0.097)	Data 0.000 (0.005)	Loss 0.0888 (0.1443)	Precision 0.267 (0.333)	Recall 0.400 (0.386)	mAP 0.892 (0.828)
Epoch: [4][160/478], 	Time 0.092 (0.097)	Data 0.000 (0.005)	Loss 0.1201 (0.1444)	Precision 0.189 (0.329)	Recall 0.300 (0.383)	mAP 0.786 (0.827)
Epoch: [4][180/478], 	Time 0.092 (0.096)	Data 0.000 (0.004)	Loss 0.0755 (0.1456)	Precision 0.233 (0.326)	Recall 0.267 (0.377)	mAP 0.933 (0.824)
Epoch: [4][200/478], 	Time 0.093 (0.096)	Data 0.000 (0.004)	Loss 0.1495 (0.1460)	Precision 0.400 (0.326)	Recall 0.467 (0.379)	mAP 0.731 (0.821)
